regime,subset,unit,N,arm,skill,rmse_early,false_alarm,detect_corr
ood_combo,DS02,14,1,Z_zero,0,0.005612131,0,0
ood_combo,DS02,14,1,E_Lin,0.4781361,0.01940459,0.008851938,0.818604677915573
ood_combo,DS02,14,1,E_MLP,-0.3574376,0.07007781,0.05178236,0.621942589680354
ood_combo,DS02,14,1,E_MixLinear,0.8620591,0.02151067,0.009128967,0.908085405826569
ood_combo,DS02,14,1,E_WPMixer,-17.87463,0.3440272,0.2601078,0.221876521905263
ood_combo,DS02,14,1,D,0.8764224,0.004011435,0.003858412,0.982763273010369
ood_combo,DS02,14,10,Z_zero,0,0.005612131,0,0
ood_combo,DS02,14,10,E_Lin,0.5376978,0.007079133,0.00426945,0.95135090748469
ood_combo,DS02,14,10,E_MLP,0.2037866,0.02126157,0.02177809,0.677864799896876
ood_combo,DS02,14,10,E_MixLinear,0.9401484,0.01425805,0.003400771,0.964964747428894
ood_combo,DS02,14,10,E_WPMixer,-2.647033,0.09055503,0.1061013,0.48991584777832
ood_combo,DS02,14,10,D,0.8618277,0.002397221,0.001765462,0.989062543584053
ood_combo,DS02,14,100,Z_zero,0,0.005612131,0,0
ood_combo,DS02,14,100,E_Lin,0.5444269,0.004081012,0.003044088,0.967416842778524
ood_combo,DS02,14,100,E_MLP,0.3103985,0.012896,0.01521079,0.758548537890116
ood_combo,DS02,14,100,E_MixLinear,0.9456966,0.01614955,0.002697987,0.969291150569916
ood_combo,DS02,14,100,E_WPMixer,-1.388432,0.05802683,0.08101227,0.612126211325328
ood_combo,DS02,14,100,D,0.8614691,0.00234086,0.001629699,0.992657725439071
ood_combo,DS02,14,1000,Z_zero,0,0.005612131,0,0
ood_combo,DS02,14,1000,E_Lin,0.5449104,0.00384167,0.002943126,0.973226447900136
ood_combo,DS02,14,1000,E_MLP,0.3190596,0.01198873,0.01442862,0.764778852462769
ood_combo,DS02,14,1000,E_MixLinear,0.9498979,0.01480504,0.002322885,0.973807632923126
ood_combo,DS02,14,1000,E_WPMixer,-1.154161,0.04894319,0.07594911,0.622325569391251
ood_combo,DS02,14,1000,D,0.8596786,0.002405934,0.001650506,0.992850689439473
ood_combo,DS02,15,1,Z_zero,0,0.005145059,0,0
ood_combo,DS02,15,1,E_Lin,0.8638494,0.01914264,0.01150028,0.930848042170207
ood_combo,DS02,15,1,E_MLP,-1.011872,0.06614841,0.07778835,0.628529091676076
ood_combo,DS02,15,1,E_MixLinear,0.8800268,0.020729,0.01173886,0.929340442021688
ood_combo,DS02,15,1,E_WPMixer,-23.17366,0.2450813,0.281411,0.00234974175691605
ood_combo,DS02,15,1,D,0.9766569,0.003740446,0.001674822,0.985258376884777
ood_combo,DS02,15,10,Z_zero,0,0.005145059,0,0
ood_combo,DS02,15,10,E_Lin,0.9158775,0.008318646,0.005356958,0.986967086791992
ood_combo,DS02,15,10,E_MLP,-0.3543619,0.02164259,0.05549265,0.86166512966156
ood_combo,DS02,15,10,E_MixLinear,0.9607765,0.009563431,0.0061543,0.980132222175598
ood_combo,DS02,15,10,E_WPMixer,-6.655494,0.08117113,0.1592152,0.24449027578036
ood_combo,DS02,15,10,D,0.9898462,0.003746616,0.001435127,0.99506890801154
ood_combo,DS02,15,100,Z_zero,0,0.005145059,0,0
ood_combo,DS02,15,100,E_Lin,0.9201292,0.006015633,0.004491942,0.9931560754776
ood_combo,DS02,15,100,E_MLP,-0.1537445,0.01401186,0.050737,0.878325720628103
ood_combo,DS02,15,100,E_MixLinear,0.9642898,0.01045952,0.00681951,0.986086984475454
ood_combo,DS02,15,100,E_WPMixer,-4.300355,0.05790504,0.135362,0.416046818097432
ood_combo,DS02,15,100,D,0.9899752,0.002926305,0.001845712,0.996603586090491
ood_combo,DS02,15,1000,Z_zero,0,0.005145059,0,0
ood_combo,DS02,15,1000,E_Lin,0.9212335,0.005407384,0.004204205,0.994431217511495
ood_combo,DS02,15,1000,E_MLP,-0.136372,0.01232747,0.04972433,0.886242886384328
ood_combo,DS02,15,1000,E_MixLinear,0.9652857,0.01019604,0.006532045,0.985078454017639
ood_combo,DS02,15,1000,E_WPMixer,-4.450189,0.05503599,0.1354675,0.374668896198273
ood_combo,DS02,15,1000,D,0.9904062,0.002757206,0.001767627,0.996899478955127
ood_combo,DS03,10,1,Z_zero,0,0.005528642,0,0
ood_combo,DS03,10,1,E_Lin,0.8464432,0.02031675,0.01229432,0.948424259821574
ood_combo,DS03,10,1,E_MLP,-0.2606002,0.05699901,0.06768141,0.782096028327942
ood_combo,DS03,10,1,E_MixLinear,0.8691341,0.02106911,0.009799119,0.7464353342851
ood_combo,DS03,10,1,E_WPMixer,-16.62884,0.2131305,0.2441003,0.442107061545054
ood_combo,DS03,10,1,D,0.9556192,0.005593219,0.002971649,0.962693838065219
ood_combo,DS03,10,10,Z_zero,0,0.005528642,0,0
ood_combo,DS03,10,10,E_Lin,0.928292,0.007390083,0.0059667,0.992518881956736
