mode,subset,unit,N,arm,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
full,DS02,11,1,TRA4,100,0.946815822146556,0.0192432606161088,0.00446482530367128,0.00428006561827728,0.984778491561157
full,DS02,11,1,TRA4,316.227766016838,0.890205238438651,0.0276489247523079,0.00379691565949866,0.00594122587596807,0.985595388667081
full,DS02,11,1,TRA4,1000,0.72955967874324,0.0433933478911921,0.00390124714649691,0.00680358227961992,0.987518649990679
full,DS02,11,1,MoE_K4,0.1,-0.604445926620099,0.105693913596647,0.0061937351572149,0.00485004352431855,0.908656516073636
full,DS02,11,1,MoE_K4,0.316227766016838,-0.583524229817193,0.105002537186438,0.0061922173002846,0.00483953176663567,0.911703722397333
full,DS02,11,1,MoE_K4,1,-0.35417244923594,0.0971011611952428,0.00618755890523552,0.00478040771750885,0.955761016620682
full,DS02,11,1,MoE_K4,3.16227766016838,0.332852441479313,0.0681551043579541,0.00616938047135133,0.00458164530565916,0.984769059681126
full,DS02,11,1,MoE_K4,10,0.714309981220251,0.0446000114701233,0.00610330729039099,0.00428181783178338,0.985428704868015
full,DS02,11,1,MoE_K4,31.6227766016838,0.895651831803411,0.0269544113219429,0.00501097535011288,0.00380197226946939,0.985495810045339
full,DS02,11,1,MoE_K4,100,0.941598563078955,0.0201650453460115,0.00425039740803283,0.00394794029834869,0.98579411109833
full,DS02,11,1,MoE_K4,316.227766016838,0.885837755066814,0.0281934800915453,0.003785785559797,0.00547643527548053,0.985801315301619
full,DS02,11,1,MoE_K4,1000,0.726244528210049,0.0436585030718256,0.00392180078575722,0.00651347762988506,0.987014341236626
full,DS02,11,1,FreeMLP,0.1,-0.768218508916312,0.110957178010301,0.00631947636423823,0.00511053351088287,0.827967183591992
full,DS02,11,1,FreeMLP,0.316227766016838,-0.658214384359812,0.107450335456696,0.00631783330704966,0.0050898121375553,0.860106837589392
full,DS02,11,1,FreeMLP,1,-0.182057978609248,0.0907207905320607,0.00631256838824649,0.00498764782714012,0.961620780143984
full,DS02,11,1,FreeMLP,3.16227766016838,0.428092897946084,0.0631030253987933,0.00629478510723414,0.0047994141028802,0.983435143371061
full,DS02,11,1,FreeMLP,10,0.729569907563082,0.043392527253698,0.00622331747275998,0.00449657577902559,0.984563382524392
full,DS02,11,1,FreeMLP,31.6227766016838,0.897938978741693,0.0266573756165827,0.0052366348404346,0.00397402726305241,0.98493408701833
full,DS02,11,1,FreeMLP,100,0.942607270493842,0.0199901418737425,0.004363680099979,0.00404680053987027,0.985423776536393
full,DS02,11,1,FreeMLP,316.227766016838,0.886594195765105,0.0280999196458066,0.003844859278295,0.00555427670704909,0.985277468895549
full,DS02,11,1,FreeMLP,1000,0.727033414715445,0.0435955519054595,0.0039278519269354,0.00655786891989953,0.986849924512058
full,DS02,11,1,MoE_dir,0.1,-0.571313168716298,0.104596899622229,0.00617318598281274,0.00441339190494396,0.914349766046108
full,DS02,11,1,MoE_dir,0.316227766016838,-0.550808763099208,0.103912204814144,0.00617146395702774,0.00440404425003199,0.916941256731136
full,DS02,11,1,MoE_dir,1,-0.349227147596075,0.0969236971876715,0.00616661058796187,0.00435682890671417,0.954215126480017
full,DS02,11,1,MoE_dir,3.16227766016838,0.351897013513593,0.0671752742184031,0.00614869765937472,0.00418631887856847,0.985005702399749
full,DS02,11,1,MoE_dir,10,0.71969625062345,0.0441775767535786,0.0060825775548841,0.00394454200420717,0.985567280172112
full,DS02,11,1,MoE_dir,31.6227766016838,0.897531305881589,0.0267105627087965,0.00497728412364657,0.00355910274643184,0.985738901516089
full,DS02,11,1,MoE_dir,100,0.940872781523884,0.020289958608706,0.00423405058754734,0.00381248477029838,0.985719062915589
full,DS02,11,1,MoE_dir,316.227766016838,0.884302906488224,0.028382370244996,0.00377460459152798,0.00542121951832661,0.985834707057519
full,DS02,11,1,MoE_dir,1000,0.72539344769835,0.0437263155366352,0.00391648630220397,0.00651411537296546,0.987090685943017
full,DS02,11,10,Z_zero,NaN,0,0.0834425248239435,0.00529926525882133,0,0
full,DS02,11,10,H0,0.1,0.272793432929881,0.0711567874707115,0.0074719363502033,0.000903625870470765,0.969981853773616
full,DS02,11,10,H0,0.316227766016838,0.654926623379516,0.0490165977347758,0.00569978429381348,0.000861557852576035,0.967376040067884
full,DS02,11,10,H0,1,0.82601415676294,0.034805220764556,0.00331226734724102,0.000834654226191792,0.965052689362744
full,DS02,11,10,H0,3.16227766016838,0.906176036755282,0.0255590274075542,0.0031914988176459,0.00083024220632595,0.971379185501652
full,DS02,11,10,H0,10,0.960435193879958,0.0165974724924525,0.00311776283552217,0.000853411869033357,0.985670052316065
full,DS02,11,10,H0,31.6227766016838,0.977170498484223,0.0126076937507183,0.00307473409962497,0.00106741038756041,0.99297873971167
full,DS02,11,10,H0,100,0.96895120900495,0.0147031295404066,0.00298925299379231,0.00239656853830728,0.993972531564227
