mode,subset,N,lambda,GroupCount,FreeMLP,H0,MoE_K4,MoE_dir,TRA4,gap
full,DS03,10,10,6,0.959437148060158,0.959257866795659,0.959242605098238,0.95911608358336,0.959033560801526,-1.52616974216091e-05
full,DS03,10,31.6227766016838,6,0.956276400083323,0.95544051910639,0.956024457569307,0.956133256888905,0.958262392859872,0.000583938462916267
full,DS03,10,100,6,0.925399855396549,0.924137192972554,0.925106310936207,0.925363081469564,0.929633651601414,0.000969117963653621
full,DS03,10,316.227766016838,6,0.819096436160268,0.817821564691943,0.819008865475412,0.818963889512979,0.821231761703877,0.00118730078346951
full,DS03,10,1000,6,0.631722245467426,0.631312102295246,0.631879570928028,0.631325631066813,0.631184775212043,0.000567468632782342
full,DS03,100,0.1,6,0.647432894544962,0.596504911571142,0.646766948856546,0.652454116054949,0.678163068832534,0.0502620372854042
full,DS03,100,0.316227766016838,6,0.854237755049638,0.852573300519589,0.852985410107738,0.857791566653096,0.868910383241641,0.000412109588149634
full,DS03,100,1,6,0.927586699810406,0.929965537797218,0.926671562987191,0.927009813164292,0.931965899168684,-0.00329397481002713
full,DS03,100,3.16227766016838,6,0.956832252757818,0.957400439786012,0.956207436540132,0.956116864730536,0.956194574676889,-0.00119300324587979
full,DS03,100,10,6,0.962963163232741,0.962235259786492,0.962584556250744,0.962410372061175,0.962482357212247,0.000349296464252191
full,DS03,100,31.6227766016838,6,0.958119980113748,0.956898146226678,0.957717363980137,0.9577553285077,0.960059344936232,0.000819217753459056
full,DS03,100,100,6,0.926555760995556,0.925091130363526,0.92614523453744,0.926576260808883,0.93067922808258,0.00105410417391327
full,DS03,100,316.227766016838,6,0.819496093368545,0.81847351646361,0.819400971169469,0.819407851180464,0.821849016816132,0.000927454705858755
full,DS03,100,1000,6,0.631687296866697,0.631605659592398,0.63189024894069,0.631345060230825,0.631579816444383,0.000284589348291564
full,DS03,1000,0.1,6,0.682314550776658,0.656056551042668,0.690594114354125,0.711129817722265,0.703543807781647,0.0345375633114566
full,DS03,1000,0.316227766016838,6,0.880872865733707,0.88105179014843,0.880230227988645,0.885449819386259,0.885411526062097,-0.000821562159784239
full,DS03,1000,1,6,0.93873752449496,0.941616131268241,0.937734206649463,0.938680236326256,0.939065605485592,-0.00388192461877801
full,DS03,1000,3.16227766016838,6,0.959371318100496,0.959476684112521,0.958988885452341,0.958942612068165,0.958077412199125,-0.000487798660180117
full,DS03,1000,10,6,0.963360597176736,0.962500307146104,0.963059050484216,0.962950226529002,0.962703337581312,0.000558743338111789
full,DS03,1000,31.6227766016838,6,0.958477257070294,0.957218881079489,0.958103863974193,0.958138011581502,0.960339900238587,0.000884982894704289
full,DS03,1000,100,6,0.926784278041497,0.925265899746628,0.926405505418018,0.926836605587249,0.93087732279343,0.00113960567139015
full,DS03,1000,316.227766016838,6,0.81965747377628,0.818582359453856,0.819586928505235,0.819580416836901,0.821958187300805,0.00100456905137858
full,DS03,1000,1000,6,0.631770254736471,0.631694082173258,0.63196835575327,0.63141203857397,0.631634990949814,0.000274273580012863
highTRA,DS02,1,0.1,3,-0.138385361582559,-0.611649600450772,0.00359755827610767,0.00976082945248609,0.0497720405088476,0.615247158726879
highTRA,DS02,1,0.316227766016838,3,0.338635780516234,0.227681674642713,0.288360524620932,0.295308267294381,0.395231723019278,0.0606788499782188
highTRA,DS02,1,1,3,0.592184220617467,0.570912254634708,0.568384926027641,0.573963599433443,0.628133727416991,-0.00252732860706706
highTRA,DS02,1,3.16227766016838,3,0.835797643862633,0.835528331303522,0.830933244807133,0.832599356782683,0.843428510196936,-0.00459508649638929
highTRA,DS02,1,10,3,0.929165890769213,0.927980804434353,0.929570995323969,0.930141333383333,0.926544489623942,0.00159019088961587
highTRA,DS02,1,31.6227766016838,3,0.944415639966653,0.940933705680117,0.943602067633415,0.9441592435451,0.941401036255947,0.00266836195329834
