perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
missing_channel,1,0,1,ood_combo,DS02,11,0.0283117133610253,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,0
missing_channel,1,0,1,ood_combo,DS03,10,0.0355401036843521,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667,0
missing_channel,1,0,2,test_id,DS01-005_id,4,0.0925408773159874,0.878787878787879,0.175757575757576,0.839255499153976,0.326315789473684,0
missing_channel,1,0,2,test_id,DS04_id,6,0.0320963785131591,0.928,0.358481355932203,0.944703530979347,0.144578313253012,0
missing_channel,1,0,2,test_id,DS05_id,2,0.086283412745733,0.912280701754386,0.245070039439684,0.925606891151135,0.2375,0
missing_channel,1,0,2,test_id,DS07_id,3,0.0145451292125664,0.907216494845361,0.450762457044674,0.849599525363394,0.269230769230769,0
missing_channel,1,0,2,test_id,DS06_id,4,0.0891448713772139,0.814814814814815,0.548199661235965,0.67375,0.482758620689655,0
missing_channel,1,0,2,ood_combo,DS02,11,0.0288463093579842,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,0
missing_channel,1,0,2,ood_combo,DS03,10,0.0183962416358574,0.924528301886792,0.697722984562607,0.929336188436831,0.166666666666667,0
missing_channel,1,0,3,test_id,DS01-005_id,4,0.0738554747975226,0.878787878787879,0.21969696969697,0.839255499153976,0.326315789473684,0
missing_channel,1,0,3,test_id,DS04_id,6,0.0281193487473047,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
missing_channel,1,0,3,test_id,DS05_id,2,0.00515214311881687,0.862385321100917,0.571412390984256,0.880860876249039,0.2625,0
missing_channel,1,0,3,test_id,DS07_id,3,0.0197607671258613,0.96078431372549,0.622666936190284,0.902985074626866,0.205128205128205,0
missing_channel,1,0,3,test_id,DS06_id,4,0.0176659402009298,0.990825688073394,0.526875658520289,0.955893536121673,0.114942528735632,0
missing_channel,1,0,3,ood_combo,DS02,11,0.032366039238885,0.881720430107527,0.85602831191638,0.662566094744793,0.525423728813559,0
missing_channel,1,0,3,ood_combo,DS03,10,0.0376376451475154,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667,0
missing_channel,1,0,4,test_id,DS01-005_id,4,0.100908924304239,0.846715328467153,0.175757575757576,0.767761650114591,0.4,0
missing_channel,1,0,4,test_id,DS04_id,6,0.0283673874661193,0.928,0.448101694915254,0.944703530979347,0.144578313253012,0
