quantile,subset,unit,N,component,mean_gain,mean_abs_gain_minus1
0.75,DS03,14,1,3,0.857977968297507,0.148231787901176
0.75,DS03,14,1,4,1.06896644281714,0.0740296519116351
0.75,DS03,14,1,5,1.05458423416866,0.0571456386854774
0.75,DS03,14,1,6,1.07590993140873,0.0949038078910426
0.75,DS03,14,1,7,1.05196153019604,0.063580605544542
0.75,DS03,14,1,8,1.24937099375223,0.249370993752229
0.75,DS03,14,1,9,1.09900000063997,0.0990000006399657
0.75,DS03,14,10,1,1.0333578900287,0.0340859984096728
0.75,DS03,14,10,2,0.918561802098626,0.081719381244559
0.75,DS03,14,10,3,0.868699850220429,0.131300149779571
0.75,DS03,14,10,4,1.07309750193044,0.0730975019304376
0.75,DS03,14,10,5,1.0570266984011,0.0570266984010998
0.75,DS03,14,10,6,1.08310839847515,0.0834820003885972
0.75,DS03,14,10,7,1.05585364605251,0.0561397891295584
0.75,DS03,14,10,8,1.25442022869461,0.254420228694615
0.75,DS03,14,10,9,1.09849915065263,0.0984991506526345
0.75,DS03,14,100,1,1.03451502793714,0.0345150279371362
0.75,DS03,14,100,2,0.921818597536338,0.078181402463662
0.75,DS03,14,100,3,0.872795370064284,0.127204629935716
0.75,DS03,14,100,4,1.0748617962787,0.0748617962787026
0.75,DS03,14,100,5,1.05813083680053,0.0581308368005251
0.75,DS03,14,100,6,1.08612035607037,0.0861203560703679
0.75,DS03,14,100,7,1.05751092339817,0.0575109233981685
0.75,DS03,14,100,8,1.25664590377557,0.256645903775567
0.75,DS03,14,100,9,1.09848344796582,0.0984834479658227
0.75,DS03,14,1000,1,1.0340823609578,0.0340823609577982
0.75,DS03,14,1000,2,0.921452261115375,0.0785477388846247
0.75,DS03,14,1000,3,0.872489733131308,0.127510266868692
0.75,DS03,14,1000,4,1.0742402468857,0.0742402468857012
0.75,DS03,14,1000,5,1.0576375754256,0.0576375754255998
0.75,DS03,14,1000,6,1.08520650706793,0.0852065070679313
0.75,DS03,14,1000,7,1.05690203842364,0.0569020384236386
0.75,DS03,14,1000,8,1.25579786614368,0.255797866143678
0.75,DS03,14,1000,9,1.09812693062582,0.0981269306258151
0.75,DS03,15,1,1,1.06513575386645,0.0667292457907947
0.75,DS03,15,1,2,1.08848070920403,0.120024875028809
0.75,DS03,15,1,3,1.09806265848786,0.148012985934072
0.75,DS03,15,1,4,1.12345866658794,0.123828154891285
0.75,DS03,15,1,5,1.07650408104284,0.0766419439173456
0.75,DS03,15,1,6,1.18361625742556,0.184947750461635
0.75,DS03,15,1,7,1.10229609261698,0.103938483480197
0.75,DS03,15,1,8,1.30727631298464,0.307276312984637
0.75,DS03,15,1,9,1.0576704438053,0.057670443805296
0.75,DS03,15,10,1,1.06375096271287,0.0637509627128715
0.75,DS03,15,10,2,1.07686204251958,0.102673371336353
0.75,DS03,15,10,3,1.082022446305,0.123515417326742
0.75,DS03,15,10,4,1.12104015563851,0.12104015563851
0.75,DS03,15,10,5,1.07598613803066,0.0759861380306642
0.75,DS03,15,10,6,1.17813804078458,0.17813804078458
0.75,DS03,15,10,7,1.10021712530905,0.100217125309047
0.75,DS03,15,10,8,1.30491106011974,0.304911060119743
0.75,DS03,15,10,9,1.06111601217469,0.0611160121746917
0.75,DS03,15,100,1,1.06401573722042,0.0640157372204225
0.75,DS03,15,100,2,1.07784672192673,0.0983704248471047
0.75,DS03,15,100,3,1.08328908148097,0.116903209864204
0.75,DS03,15,100,4,1.12147960734012,0.121479607340115
0.75,DS03,15,100,5,1.07626404157325,0.076264041573254
0.75,DS03,15,100,6,1.17892064265351,0.178920642653508
0.75,DS03,15,100,7,1.10060070521796,0.100600705217959
0.75,DS03,15,100,8,1.30551578571547,0.305515785715473
0.75,DS03,15,100,9,1.06110114481912,0.0611011448191173
0.75,DS03,15,1000,1,1.06384281969782,0.0638428196978213
