quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS03,12,1,31.6227766016838,0,0.937081868645028,0.925401232642551,-0.0116806360024777
0.75,DS03,12,1,100,0,0.936039292143007,0.926840593192442,-0.00919869895056491
0.75,DS03,12,1,316.227766016838,0,0.864936999038239,0.857093036698024,-0.00784396234021512
0.75,DS03,12,1,1000,0,0.70303723957806,0.697091433541014,-0.00594580603704553
0.75,DS03,12,10,0.001,0,-0.660474006495415,-0.574243618335422,0.0862303881599935
0.75,DS03,12,10,0.00316227766016838,0,-0.65421957711563,-0.569141135267121,0.0850784418485084
0.75,DS03,12,10,0.01,0,-0.634083783980353,-0.553245981029213,0.0808378029511401
0.75,DS03,12,10,0.0316227766016838,0,-0.509422942167691,-0.37434060159576,0.135082340571931
0.75,DS03,12,10,0.1,0,-0.203904447004124,-0.205473215944425,-0.00156876894030167
0.75,DS03,12,10,0.316227766016838,0,0.372670609681807,0.372889386933429,0.000218777251622115
0.75,DS03,12,10,1,0,0.791147777297967,0.775142303126149,-0.016005474171818
0.75,DS03,12,10,3.16227766016838,0,0.913907507655669,0.905230469582523,-0.0086770380731459
0.75,DS03,12,10,10,0,0.945522798478739,0.941083767868972,-0.00443903060976747
0.75,DS03,12,10,31.6227766016838,0,0.9552469277113,0.949127476293951,-0.00611945141734882
0.75,DS03,12,10,100,0,0.943088654303408,0.934514747196086,-0.00857390710732131
0.75,DS03,12,10,316.227766016838,0,0.865997023733163,0.858459118191253,-0.00753790554190947
0.75,DS03,12,10,1000,0,0.702264143537672,0.696345044360155,-0.00591909917751665
0.75,DS03,12,100,0.001,0,-0.588123126864164,-0.632870889832672,-0.044747762968508
0.75,DS03,12,100,0.00316227766016838,0,-0.557476637108679,-0.58425497200436,-0.0267783348956805
0.75,DS03,12,100,0.01,0,-0.46561131154127,-0.49722785198528,-0.0316165404440103
0.75,DS03,12,100,0.0316227766016838,0,-0.261425858991328,-0.23877040636401,0.0226554526273177
0.75,DS03,12,100,0.1,0,0.0626419553134098,0.0259700344495692,-0.0366719208638405
0.75,DS03,12,100,0.316227766016838,0,0.547070369137103,0.532803271545441,-0.0142670975916622
0.75,DS03,12,100,1,0,0.850401802285475,0.828699085415644,-0.0217027168698312
0.75,DS03,12,100,3.16227766016838,0,0.927603961176391,0.918721770822539,-0.00888219035385207
0.75,DS03,12,100,10,0,0.950358740626919,0.944875752907032,-0.0054829877198872
0.75,DS03,12,100,31.6227766016838,0,0.957331015585923,0.950401742394734,-0.00692927319118852
0.75,DS03,12,100,100,0,0.943279242854919,0.934031233887695,-0.00924800896722355
0.75,DS03,12,100,316.227766016838,0,0.865295945332983,0.857491684653199,-0.00780426067978457
