subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,10,B,1.0,0.922028668417033,0.02329994587388201,0.02762189078523482,0.010527740402011355,0.9254305105809352,3.847463644572653,2.0849339363850845,8.220373305012183
DS02,11,10,D,1.0,0.8750698730645814,0.029493141009146434,0.00799492849977187,0.0007271586003666272,0.9857263338545335,8.292328999302685,2.035949304732178,8.220373305012183
DS02,11,10,B,3.1622776601683795,0.9537781444653366,0.017939532635777616,0.016924893022971434,0.010196895596124715,0.9630930260583545,3.8881077960188306,2.0380671412169034,8.220373305012183
DS02,11,10,D,3.1622776601683795,0.9260854934455791,0.022685704857103736,0.007966374623857015,0.0007208581521065541,0.9853968407753854,8.307459527945118,2.0035957280952617,8.220373305012183
DS02,11,10,B,10.0,0.9596281604213769,0.016765893612990322,0.01429027302360888,0.009417409805771635,0.9708108100822272,3.9831664500983726,2.0086321315879023,8.220373305012183
DS02,11,10,D,10.0,0.960840948566969,0.016512145931347647,0.006726546348380271,0.0007388547592723522,0.9879737520536235,8.34858054349449,1.9739935256536987,8.220373305012183
DS02,11,10,B,31.622776601683793,0.9677129700931072,0.014993446854194608,0.01195425123030153,0.0079749337636162,0.9788106723260825,4.623884193091056,1.939920200324337,8.220373305012183
DS02,11,10,D,31.622776601683793,0.9746453701959488,0.013286667704322986,0.0049825120433712455,0.0010205368568290412,0.9906950281997308,8.59461807269463,1.9220658262166674,8.220373305012183
DS02,11,10,B,100.0,0.9627193968022015,0.0161112375799207,0.00893064281285516,0.007371307025565668,0.9875303570946165,7.582125559008767,1.7856107939255745,8.220373305012183
DS02,11,10,D,100.0,0.9676231552199881,0.015014286481227615,0.0036555221071972502,0.002401711648553179,0.9921356955876662,10.368467763312925,1.7793559302842512,8.220373305012183
DS02,11,10,B,316.22776601683796,0.894814327480827,0.027062363964164844,0.005924706986693516,0.008577341842404574,0.9927861011772668,15.013619877363245,1.521180642540976,8.220373305012183
DS02,11,10,D,316.22776601683796,0.897164087571033,0.02675838138991043,0.0030395936053894917,0.005042442138575053,0.9926663165010569,16.4852277239879,1.5206157979159316,8.220373305012183
DS02,11,10,B,1000.0,0.7362984365914296,0.042849305659768314,0.004198025340959251,0.009403073209162368,0.994735051232614,28.614051185253732,1.1479513016905285,8.220373305012183
DS02,11,10,D,1000.0,0.7388245896941696,0.04264357235412556,0.0030739330919089224,0.006659935835283415,0.9935408048052322,29.37990019066084,1.1493689667191183,8.220373305012183
DS02,11,10,B,3162.2776601683795,0.49725535795749565,0.05916449501176933,0.0041305128484294485,0.007214761067240008,0.9954115362352386,48.38826710436097,0.6863743591552102,8.220373305012183
DS02,11,10,D,3162.2776601683795,0.49949703855524563,0.05903244380414629,0.0038588426255748167,0.005293289766740629,0.9948070306489644,48.92301933636302,0.6856264168701082,8.220373305012183
DS02,11,10,B,10000.0,0.24688579810346267,0.0724132192696397,0.004693921691072057,0.003935742615453711,0.9953850733157524,65.73011831895398,0.3087946159719307,8.220373305012183
DS02,11,10,D,10000.0,0.24760412492309714,0.07237867685449352,0.004633391175878698,0.002871218717571162,0.9953197351487582,66.09809869862546,0.30765433633099465,8.220373305012183
DS02,11,100,Z_zero,,0.0,0.08344252482394354,0.0052992652588213715,0.0,0.0,80.8670597863612,0.0,2.599510286068454
DS02,11,100,B,1e-06,-32.30257969397426,0.4815333543177787,0.595469457644902,0.00998083207328125,0.11505811090303159,2.003977152123999,11.36312269310039,2.599510286068454
DS02,11,100,D,1e-06,0.045162316002042124,0.08153652755651766,0.007964915788292785,0.000738752596669786,0.9618247381298225,6.153486871001909,2.586210290138403,2.599510286068454
DS02,11,100,B,3.162277660168379e-06,-32.29826553165502,0.48150216333564755,0.5954311628451822,0.009980675802037637,0.1150668825086013,2.0039771604728074,11.362415172097753,2.599510286068454
