subset,align_pct,unit,N,method,skill,rmse_early,false_alarm,detect_corr,rmse
DS03,27.880772740071986,11,1,D_约束+收缩★,0.5847251534860978,0.007810517790598027,0.003127003797738656,0.9654431728896272,0.05377188359424399
DS03,27.880772740071986,11,10,Z_全零,0.0,0.005299265258821372,0.0,0.0,0.08344252482394354
DS03,27.880772740071986,11,10,A_无约束无收缩,-74.33928804400635,0.9639967196223711,0.011553405601065147,0.10161513252636796,0.7242661573988654
DS03,27.880772740071986,11,10,B_无约束+收缩,0.9677990233128774,0.009353323111413138,0.007356550910036344,0.9769509219703544,0.014973452831362864
DS03,27.880772740071986,11,10,C_约束无收缩,-0.9718579205140045,0.006761052833228815,0.0011312087526356182,0.9936082825613815,0.11717237860938348
DS03,27.880772740071986,11,10,D_约束+收缩★,0.831086409378248,0.006722968027704407,0.0008951796116036339,0.9866881154819475,0.03429412555664544
DS03,27.880772740071986,11,100,Z_全零,0.0,0.005299265258821372,0.0,0.0,0.08344252482394354
DS03,27.880772740071986,11,100,A_无约束无收缩,-16.108684736986746,0.3893038219619031,0.007798181655437753,0.09300732734767693,0.3451403605125983
DS03,27.880772740071986,11,100,B_无约束+收缩,0.9775298914287369,0.006667375974803673,0.005277866106551034,0.9888165720338931,0.012508061906152659
DS03,27.880772740071986,11,100,C_约束无收缩,-0.015142430717910882,0.007466184631297256,0.0006774968806637821,0.9440544999599659,0.0840719124867057
DS03,27.880772740071986,11,100,D_约束+收缩★,0.6371882994942915,0.007465691718799792,0.0006022519633229928,0.9716694316437136,0.050260647449860384
DS03,27.880772740071986,11,1000,Z_全零,0.0,0.005299265258821372,0.0,0.0,0.08344252482394354
DS03,27.880772740071986,11,1000,A_无约束无收缩,-10.56450131099224,0.33673673246367636,0.007185319877123163,0.12916849505122788,0.28375981443050163
DS03,27.880772740071986,11,1000,B_无约束+收缩,0.9790299174622352,0.0058518939214583406,0.004798431616501412,0.9945374857556275,0.012083354209919918
DS03,27.880772740071986,11,1000,C_约束无收缩,-0.09515414219421259,0.0074585732907153585,0.0006406853927415287,0.9497846153127406,0.08732227899030286
DS03,27.880772740071986,11,1000,D_约束+收缩★,0.6862798677899443,0.007454640357818752,0.0005591231860598639,0.9778671260905977,0.046736763164895494
DS03,27.880772740071986,12,1,Z_全零,0.0,0.006842542057394664,0.0,0.0,0.07436272189883715
DS03,27.880772740071986,12,1,A_无约束无收缩,-358.4079795100579,1.0188441077458479,0.027680268705299115,-0.02082772259133175,1.4097728269186254
DS03,27.880772740071986,12,1,B_无约束+收缩,0.8344213994036338,0.019975742609592225,0.014765727549078745,0.9355143020144508,0.030259195813306196
DS03,27.880772740071986,12,1,C_约束无收缩,-0.04402213602697014,0.0075750474886321865,0.006180557840903722,0.9672953558719738,0.07598189685896004
DS03,27.880772740071986,12,1,D_约束+收缩★,0.8239239383358102,0.007333677731851511,0.005914652892448815,0.9770380964303843,0.031203652714552766
DS03,27.880772740071986,12,10,Z_全零,0.0,0.006842542057394664,0.0,0.0,0.07436272189883715
DS03,27.880772740071986,12,10,A_无约束无收缩,-54.66835865964255,0.5186097591683225,0.009151172157860328,0.036987843156239375,0.5548294258573061
DS03,27.880772740071986,12,10,B_无约束+收缩,0.9332388433808294,0.008664804244402455,0.007326116071431731,0.986743903214355,0.01921397423181991
DS03,27.880772740071986,12,10,C_约束无收缩,0.6723578878470744,0.008432030410521941,0.002567162435813026,0.9911630750133428,0.04256524488966992
DS03,27.880772740071986,12,10,D_约束+收缩★,0.8881778857512175,0.00792811800315863,0.002454733392005162,0.9910513258583186,0.024866755689649758
DS03,27.880772740071986,12,100,Z_全零,0.0,0.006842542057394664,0.0,0.0,0.07436272189883715
DS03,27.880772740071986,12,100,A_无约束无收缩,-21.153244313590463,0.3562977970303423,0.005794231785575134,0.13313913667664468,0.35000475653018104
DS03,27.880772740071986,12,100,B_无约束+收缩,0.9453470031559527,0.005164032450272027,0.004745708446026445,0.9953108979352526,0.017384502564057727
DS03,27.880772740071986,12,100,C_约束无收缩,0.8386870518841301,0.008244193556332245,0.002515936784387688,0.9871069564034772,0.02986688240712393
DS03,27.880772740071986,12,100,D_约束+收缩★,0.8833210069244473,0.007915578680852046,0.0024932130342817144,0.9906932836912996,0.02540104677063333
DS03,27.880772740071986,12,1000,Z_全零,0.0,0.006842542057394664,0.0,0.0,0.07436272189883715
DS03,27.880772740071986,12,1000,A_无约束无收缩,-16.00512430630875,0.2805546540594481,0.004976661308548527,0.11045818660968604,0.30665156350868766
DS03,27.880772740071986,12,1000,B_无约束+收缩,0.9467538225363732,0.004667486537255199,0.004285392072713754,0.9954976752511132,0.017159297168594625
DS03,27.880772740071986,12,1000,C_约束无收缩,0.9449309381323778,0.006094320413856353,0.002321937644892239,0.9847245405421744,0.01745054989855172
DS03,27.880772740071986,12,1000,D_约束+收缩★,0.9463277737672725,0.005938023907565935,0.002321855640979703,0.984992975598189,0.01722781036412087
DS03,27.880772740071986,13,1,Z_全零,0.0,0.006431437286172571,0.0,0.0,0.08676153315854795
DS03,27.880772740071986,13,1,A_无约束无收缩,-338.00523780487646,1.1060481004961182,0.03268320307909109,0.05776651680136859,1.5974615802957253
DS03,27.880772740071986,13,1,B_无约束+收缩,0.8075339109798024,0.029881741345443708,0.018149500650747826,0.9418361926989801,0.038063115123118565
DS03,27.880772740071986,13,1,C_约束无收缩,0.07131738062968251,0.011614120346366818,0.002913605853533199,0.9818290470502907,0.08361051079246849
DS03,27.880772740071986,13,1,D_约束+收缩★,0.8801678515515281,0.009256119126623366,0.0026657442044411947,0.9694405835958465,0.030034049395429262
DS03,27.880772740071986,13,10,Z_全零,0.0,0.006431437286172571,0.0,0.0,0.08676153315854795
DS03,27.880772740071986,13,10,A_无约束无收缩,-52.393264745181995,0.5368734345536352,0.010151413152785173,0.17536809489859131,0.6339725531159197
DS03,27.880772740071986,13,10,B_无约束+收缩,0.9532058285586053,0.009657170923853023,0.008663292362562799,0.986115283602341,0.018768220568823605
DS03,27.880772740071986,13,10,C_约束无收缩,0.10318766192194628,0.007928933044012529,0.0006870297524118396,0.9925407075255499,0.08216332481376383
DS03,27.880772740071986,13,10,D_约束+收缩★,0.9027537887144266,0.007921236045646301,0.0006204226610282751,0.9772042826939752,0.027055998296388495
DS03,27.880772740071986,13,100,Z_全零,0.0,0.006431437286172571,0.0,0.0,0.08676153315854795
DS03,27.880772740071986,13,100,A_无约束无收缩,-15.803916853710692,0.24812351489744142,0.006636140031318191,0.28010474692138776,0.355657916333556
DS03,27.880772740071986,13,100,B_无约束+收缩,0.9660621656216599,0.00643660186675575,0.006293895498418644,0.9944834628683461,0.01598340414153768
DS03,27.880772740071986,13,100,C_约束无收缩,0.09461764857854105,0.0072147345181879435,0.00024834931427426176,0.9937074115807489,0.08255497117228071
DS03,27.880772740071986,13,100,D_约束+收缩★,0.23373418729502682,0.007213742482421596,0.00023908277996497797,0.9551844027551394,0.07594810509317965
DS03,27.880772740071986,13,1000,Z_全零,0.0,0.006431437286172571,0.0,0.0,0.08676153315854795
DS03,27.880772740071986,13,1000,A_无约束无收缩,-13.375894484223869,0.2051423002652917,0.00560909329435875,0.2851824393989605,0.32896118396359497
DS03,27.880772740071986,13,1000,B_无约束+收缩,0.9660092306327172,0.005437991703531341,0.005958378751206964,0.9948274533256196,0.015995864448336724
DS03,27.880772740071986,13,1000,C_约束无收缩,0.09741741477095833,0.007075648890935263,0.0002428778738649062,0.9936677069831088,0.08242722758334588
DS03,27.880772740071986,13,1000,D_约束+收缩★,0.37319219706492524,0.007074645850831115,0.0002161695764265895,0.9783920250757366,0.06869014211769253
DS03,27.880772740071986,14,1,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS03,27.880772740071986,14,1,A_无约束无收缩,-302.2959221208344,1.461873905908758,0.023095109377967736,0.06643626833682177,1.3611143274463922
DS03,27.880772740071986,14,1,B_无约束+收缩,0.7823580176532116,0.015248568248003953,0.0126155797353143,0.9258915806774657,0.036461342595140805
DS03,27.880772740071986,14,1,C_约束无收缩,0.3992116010028701,0.0058030026266750944,0.0019036166155104442,0.9931993461942861,0.06057899845629817
DS03,27.880772740071986,14,1,D_约束+收缩★,0.9456558799141563,0.005533757165334067,0.0018185527730079079,0.9815960178249005,0.01821954808326836
DS03,27.880772740071986,14,10,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS03,27.880772740071986,14,10,A_无约束无收缩,-40.94434909138102,0.5258591823225923,0.010064327768221446,0.06593928140876804,0.5061719207391739
DS03,27.880772740071986,14,10,B_无约束+收缩,0.8372534393909029,0.009443481822130896,0.007598167982296367,0.9769912893595469,0.0315295105879101
DS03,27.880772740071986,14,10,C_约束无收缩,0.6579296272690315,0.0054169534493276415,0.002284560500971666,0.9545717736271969,0.0457108240258806
DS03,27.880772740071986,14,10,D_约束+收缩★,0.9214961800988,0.004943051658227395,0.0021116531858904578,0.9739125465671062,0.021898114117608013
DS03,27.880772740071986,14,100,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS03,27.880772740071986,14,100,A_无约束无收缩,-10.549163478257967,0.2646049637489042,0.006030427157581204,0.14405839846911636,0.2656052067084851
DS03,27.880772740071986,14,100,B_无约束+收缩,0.8480907723061997,0.005379307824838335,0.004537203553061423,0.9910196164101924,0.030461648175195477
DS03,27.880772740071986,14,100,C_约束无收缩,0.7120548154963889,0.005818673912186336,0.0014080807776827187,0.9474036477267309,0.04193882222073176
DS03,27.880772740071986,14,100,D_约束+收缩★,0.9237577335834197,0.00581448913552665,0.0013476837990118392,0.9745951229666859,0.021580386516358834
DS03,27.880772740071986,14,1000,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS03,27.880772740071986,14,1000,A_无约束无收缩,-8.194894387225915,0.26366775311477514,0.004813738847947701,0.16763017715357584,0.23699254926025773
DS03,27.880772740071986,14,1000,B_无约束+收缩,0.8501102246095397,0.004578388993469676,0.003857942262449957,0.9926501245372993,0.030258495075771833
DS03,27.880772740071986,14,1000,C_约束无收缩,0.8955469440470032,0.0057270695012940605,0.0011883887424350848,0.9727107595309032,0.025259333979097534
DS03,27.880772740071986,14,1000,D_约束+收缩★,0.9540355790832803,0.005721490994370334,0.0011434610140640263,0.981078068571207,0.016756071946014934
DS03,27.880772740071986,15,1,Z_全零,0.0,0.005145058614833981,0.0,0.0,0.07834294999233453
DS03,27.880772740071986,15,1,A_无约束无收缩,-474.1380846822019,0.9240185394706399,0.023954460368816932,0.006592078768866601,1.7076931727972777
DS03,27.880772740071986,15,1,B_无约束+收缩,0.8781211908842478,0.01604708063323056,0.014348862982467932,0.9482491314373761,0.02735042138463649
DS03,27.880772740071986,15,1,C_约束无收缩,-0.4909539409577106,0.007854934197981276,0.0031750824373628942,0.9880296291542772,0.0956603651839789
DS03,27.880772740071986,15,1,D_约束+收缩★,0.8780373486680649,0.007824727727316258,0.0028755835902014803,0.9709679715883047,0.027359827144862382
DS03,27.880772740071986,15,10,Z_全零,0.0,0.005145058614833981,0.0,0.0,0.07834294999233453
DS03,27.880772740071986,15,10,A_无约束无收缩,-99.14773476015661,0.5958994849610033,0.010955363879579138,0.1534648758658332,0.7840079851925957
DS03,27.880772740071986,15,10,B_无约束+收缩,0.9682562070831019,0.008925817195190863,0.008431226396087363,0.9890666047949241,0.013958197192863214
DS03,27.880772740071986,15,10,C_约束无收缩,-0.5490642674785544,0.0057133646482768,0.0020349931919285665,0.9958982881222251,0.09750674049692624
DS03,27.880772740071986,15,10,D_约束+收缩★,0.8898867162064416,0.004774747653374058,0.001763011003844445,0.992426681317829,0.025996793112122166
DS03,27.880772740071986,15,100,Z_全零,0.0,0.005145058614833981,0.0,0.0,0.07834294999233453
DS03,27.880772740071986,15,100,A_无约束无收缩,-25.03417199580072,0.36539099351732246,0.006699248604780042,0.20285249912755254,0.3997346592443374
DS03,27.880772740071986,15,100,B_无约束+收缩,0.9787016513660857,0.006051650084463403,0.005781459690178705,0.9950515298436556,0.01143333389583617
DS03,27.880772740071986,15,100,C_约束无收缩,-0.5060078207116279,0.00506773593562325,0.001452643987046455,0.9967029570029445,0.09614208458147842
DS03,27.880772740071986,15,100,D_约束+收缩★,0.18066573961079113,0.005066498896728182,0.001383517173147187,0.9777825573825446,0.07091375432013754
DS03,27.880772740071986,15,1000,Z_全零,0.0,0.005145058614833981,0.0,0.0,0.07834294999233453
DS03,27.880772740071986,15,1000,A_无约束无收缩,-30.489782454506095,0.28228825196781854,0.006476362631425384,0.20303150078682078,0.4396273987549699
DS03,27.880772740071986,15,1000,B_无约束+收缩,0.9804573376439645,0.005358566532143158,0.005534390994087647,0.9960506706040704,0.010951958391066283
DS03,27.880772740071986,15,1000,C_约束无收缩,-0.5046631987193544,0.005205124996709428,0.0013660064778739734,0.9969768428979323,0.09609915531252056
DS03,27.880772740071986,15,1000,D_约束+收缩★,0.08405259671385867,0.005203975038813473,0.0013054154184866783,0.9690413056026826,0.07497823083161805
