subset,unit,N,method,lam,skill,rmse,false_alarm,detect_corr
DS02,14,1,D_约束+收缩★,0.001,0.3979347042604179,0.060643340634479355,0.002114035585879812,0.9907096373177724
DS02,14,1,B_岭回归,0.0031622776601683794,-258.32037076513285,1.25857655352089,0.02513564702357003,0.04150133264598638
DS02,14,1,D_约束+收缩★,0.0031622776601683794,0.3979458105631357,0.06064278128783554,0.0021140836622339423,0.9907095097980556
DS02,14,1,B_岭回归,0.01,-183.32729672059935,1.061099590389023,0.024466885972064673,0.048908362821842966
DS02,14,1,D_约束+收缩★,0.01,0.3979809281228964,0.06064101262847792,0.00211423569460486,0.9907091064897217
DS02,14,1,B_岭回归,0.03162277660168379,-81.36348224792309,0.7092978931718609,0.02354631364471084,0.07219392811903742
DS02,14,1,D_约束+收缩★,0.03162277660168379,0.3980919430765528,0.06063542113652604,0.0021147164790310856,0.990707830561151
DS02,14,1,B_岭回归,0.1,-18.747327417097257,0.34730855684452483,0.023010505968039954,0.14390392936639856
DS02,14,1,D_约束+收缩★,0.1,0.39844263832352267,0.06061775427525092,0.0021162370099766827,0.9907037901702928
DS02,14,1,B_岭回归,0.31622776601683794,-2.121213066257344,0.13807753588888874,0.022820477337977894,0.33971502833534295
DS02,14,1,D_约束+收缩★,0.31622776601683794,0.801031526896566,0.03486209271095285,0.0020356540653392653,0.9717382536805056
DS02,14,1,B_岭回归,1.0,0.3431964152098316,0.0633401484889507,0.02259399014132768,0.648570748484174
DS02,14,1,D_约束+收缩★,1.0,0.9049487120679962,0.024095743022534248,0.0020021830837980066,0.9769641620413815
DS02,14,1,B_岭回归,3.1622776601683795,0.6221199017034689,0.04804390834181641,0.021924657101132342,0.79726094101603
DS02,14,1,D_约束+收缩★,3.1622776601683795,0.9607819470748377,0.015477625496151,0.001974836408905563,0.9793764637793058
DS02,14,1,B_岭回归,10.0,0.6764784325559018,0.04445421431822185,0.02018446848480346,0.8274789439379132
DS02,14,1,D_约束+收缩★,10.0,0.9403339891969331,0.019090830473819074,0.0019593648519707395,0.9795157244726869
DS02,14,1,B_岭回归,31.622776601683793,0.7282831474346838,0.04073986706649046,0.017009214943390943,0.8495590870485362
DS02,14,1,D_约束+收缩★,31.622776601683793,0.8891286334778782,0.026023818425613632,0.0021557018156438006,0.9794685379785976
DS02,14,1,B_岭回归,100.0,0.759102951497004,0.038359864058466336,0.013837874865794976,0.8846599159634003
DS02,14,1,D_约束+收缩★,100.0,0.8406585405809166,0.031197925396748094,0.0030953583013716545,0.9807143133958474
DS02,14,1,B_岭回归,316.22776601683796,0.7188928062243085,0.041437858186698914,0.012121979202456607,0.9212521723549618
DS02,14,1,D_约束+收缩★,316.22776601683796,0.7560575193826027,0.038601576150223464,0.004778068056677229,0.982957369324959
DS02,14,1,B_岭回归,1000.0,0.5951538038407642,0.0497286135895862,0.010452287158069376,0.943641083617516
DS02,14,1,D_约束+收缩★,1000.0,0.61197874568325,0.048684316545017564,0.005618175680504751,0.9861827027549318
DS02,14,1,B_岭回归,3162.2776601683795,0.40049752566647956,0.060514132226170025,0.007494369197402236,0.9550018631413303
DS02,14,1,D_约束+收缩★,3162.2776601683795,0.4081563517507768,0.060126346521148656,0.004410800678413459,0.9888664989041054
DS02,14,1,B_岭回归,10000.0,0.19784782001781476,0.06999865640240761,0.004211284609291432,0.9589809005919072
DS02,14,1,D_约束+收缩★,10000.0,0.20063281510829933,0.06987703645171411,0.00242990870863468,0.9893780596922478
DS02,14,10,Z_全零哨兵,,0.0,0.07815581926593952,0.0,0.0
DS02,14,10,B_岭回归,1e-06,-64.594224702477,0.6329860246082692,0.010263891354931639,0.08297794381834467
DS02,14,10,D_约束+收缩★,1e-06,0.4008257472270026,0.06049756451955083,0.0017879861721717995,0.782526226747284
DS02,14,10,B_岭回归,3.162277660168379e-06,-64.58578000364756,0.6329452775118646,0.01026371793708377,0.08298319695093163
DS02,14,10,D_约束+收缩★,3.162277660168379e-06,0.40082577738607617,0.06049756299699665,0.0017879862168287228,0.7825262261706029
DS02,14,10,B_岭回归,1e-05,-64.55908625256637,0.6328164584050968,0.010263169688281415,0.08299980875678792
DS02,14,10,D_约束+收缩★,1e-05,0.40082587275738424,0.06049755818226019,0.001787986358046265,0.782526224346976
DS02,14,10,B_岭回归,3.1622776601683795e-05,-64.4747803987746,0.6324094416410061,0.010261437438161252,0.08305233929965149
DS02,14,10,D_约束+收缩★,3.1622776601683795e-05,0.4008261743474142,0.060497542956750736,0.001787986804615422,0.7825262185801524
DS02,14,10,B_岭回归,0.0001,-64.20924976662444,0.6311257819141454,0.010255974188460616,0.08321844945878472
DS02,14,10,D_约束+收缩★,0.0001,0.4008271280535911,0.060497494809701506,0.0017879882167914402,0.782526200343765
DS02,14,10,B_岭回归,0.00031622776601683794,-63.38011871746302,0.6271005858762779,0.0102388426193207,0.0837436757123291
