perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,0.25,44,NaN,ood_combo,DS03,15,0.0953400686032614,0.851485148514851,0.427871287128713,0.713266761768901,0.507462686567164,0.0613819993612425
noise,0.5,44,NaN,test_id,DS01-005_id,4,0.132190129615433,0.834532374100719,0.154666666666667,0.650125993409575,0.515789473684211,0.248361990808221
noise,0.5,44,NaN,test_id,DS04_id,6,0.0283932212542574,0.977099236641221,0.272157033805889,0.959942084942085,0.0963855421686747,0.264703778351666
noise,0.5,44,NaN,test_id,DS05_id,2,0.00667383394133514,0.966666666666667,0.45462962962963,0.951796669588081,0.1375,0.234556484096729
noise,0.5,44,NaN,test_id,DS07_id,3,0.0135510761189881,0.860215053763441,0.271276152371426,0.78503046127067,0.397435897435897,0.257489738037884
noise,0.5,44,NaN,test_id,DS06_id,4,0.0183034998181333,0.932203389830508,0.526180774158623,0.928921568627451,0.206896551724138,0.255475247754144
noise,0.5,44,NaN,ood_combo,DS02,11,0.0296192194724604,0.863157894736842,0.866510888366047,0.597021610122047,0.593220338983051,0.263344404605496
noise,0.5,44,NaN,ood_combo,DS02,14,0.0535723661212775,0.780952380952381,0.341237584100757,0.574028856825749,0.723684210526316,0.267109976386401
noise,0.5,44,NaN,ood_combo,DS02,15,0.0965621244194276,0.967032967032967,0.280786890141476,0.932663316582915,0.17910447761194,0.24751831945271
noise,0.5,44,NaN,ood_combo,DS03,10,0.05852999765915,0.924528301886792,0.453054458583199,0.774809904464808,0.318181818181818,0.234998330672273
noise,0.5,44,NaN,ood_combo,DS03,11,0.0544407701989133,0.872340425531915,0.542948274343521,0.735078304676377,0.457627118644068,0.261361360284607
noise,0.5,44,NaN,ood_combo,DS03,12,0.0574906572103988,0.826086956521739,0.640138538852753,0.666281707568571,0.505376344086022,0.233419430103338
noise,0.5,44,NaN,ood_combo,DS03,13,0.038132743730875,0.936507936507936,0.577384231929686,0.7779632721202,0.285714285714286,0.239775948368414
noise,0.5,44,NaN,ood_combo,DS03,14,0.0572372189343808,0.788461538461539,0.480515837104072,0.593066902185913,0.697368421052632,0.26232570313386
noise,0.5,44,NaN,ood_combo,DS03,15,0.0955972695979729,0.851485148514851,0.340594059405941,0.632307325220711,0.582089552238806,0.24552799744497
noise,1,44,NaN,test_id,DS01-005_id,4,0.148569752755111,0.834532374100719,0.116,0.656141701963804,0.505263157894737,0.993447963232883
noise,1,44,NaN,test_id,DS04_id,6,0.0309874891863072,0.964028776978417,0.315338129496403,0.933978523134032,0.144578313253012,1.05881511340667
noise,1,44,NaN,test_id,DS05_id,2,0.00933873953016658,0.966666666666667,0.303086419753086,0.951796669588081,0.1375,0.938225936386916
noise,1,44,NaN,test_id,DS07_id,3,0.0158450104361707,0.890756302521008,0.250864055299539,0.842781557067271,0.41025641025641,1.02995895215154
noise,1,44,NaN,test_id,DS06_id,4,0.0202983244771477,0.932203389830508,0.525042552681418,0.920068250426565,0.241379310344828,1.02190099101657
noise,1,44,NaN,ood_combo,DS02,11,0.0554126312707372,0.854166666666667,0.450912384716733,0.562364487047815,0.627118644067797,1.05337761842199
noise,1,44,NaN,ood_combo,DS02,14,0.0622717557893497,0.780952380952381,0.34704018253264,0.574028856825749,0.723684210526316,1.0684399055456
noise,1,44,NaN,ood_combo,DS02,15,0.093367928097683,0.936170212765957,0.259865203370496,0.915560827340796,0.223880597014925,0.990073277810839
noise,1,44,NaN,ood_combo,DS03,10,0.0695022232953728,0.924528301886792,0.356427231601015,0.750629722921914,0.348484848484849,0.93999332268909
